m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,ell_a_m,dtheta_min_rad,dtheta_min_deg,is_resolved,signature
0.010514895768547274,1.6303862453999334e-07,91.2,5567756840.233044,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.7840073858797664e-07,91.2,4650160787.42678,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.952103289544644e-07,91.2,3883789463.050016,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.136037823168436e-07,91.2,3243720224.48821,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.3373033621957811e-07,91.2,2709137813.6885343,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.557532899313709e-07,91.2,2262657438.2551956,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.7985132939384746e-07,91.2,1889759412.3944268,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.0621997701190533e-07,91.2,1578316972.049996,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.350731780487785e-07,91.2,1318201908.6253526,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.6664503649722095e-07,91.2,1100955196.3738797,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,4.011917145110291e-07,91.2,919511902.153629,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,4.389935108081548e-07,91.2,767971431.5232282,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,4.803571349088049e-07,91.2,641405639.5077529,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,5.256181956608318e-07,91.2,535698565.7348694,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,5.751439242433617e-07,91.2,447412582.07619596,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,6.293361537421076e-07,91.2,373676599.871953,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,6.886345794714897e-07,91.2,312092701.2018707,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,7.535203264966113e-07,91.2,260658157.82111332,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,8.245198533006114e-07,91.2,217700301.79189873,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,9.022092232702599e-07,91.2,181822129.78275383,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,9.872187786570593e-07,91.2,151856872.06964937,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.080238254936561e-06,91.2,126830048.80831183,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.1820223770619243e-06,91.2,105927779.63542505,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.2933969830175757e-06,91.2,88470316.01675034,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.4152657243572029e-06,91.2,73889935.60558042,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.5486173980916918e-06,91.2,61712479.72894202,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.6945339694151947e-06,91.2,51541933.59464038,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.8541993503627166e-06,91.2,43047547.76250607,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.028909005625913e-06,91.2,35953082.065938294,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.220080463465091e-06,91.2,30027822.192602463,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.429264816998964e-06,91.2,25079076.780590713,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.6581593091892923e-06,91.2,20945911.033192154,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.908621103630263e-06,91.2,17493913.067403875,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.1826823528735514e-06,91.2,14610822.796149591,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.482566686547826e-06,91.2,12202881.194045214,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.8107072530510203e-06,91.2,10191781.223657321,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,4.169766461198885e-06,91.2,8512121.26539278,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,4.56265758200615e-06,91.2,7109278.235738177,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,4.9925683858689426e-06,91.2,5937631.226968726,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,5.462987006931703e-06,91.2,4959077.900516787,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,5.977730244492257e-06,91.2,4141795.3866341366,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,6.540974531071987e-06,91.2,3459205.3944053096,0.00046117963284094944,0.0264236465591793,False,invisible
