m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,ell_a_m,dtheta_min_rad,dtheta_min_deg,is_resolved,signature
0.01,2.557532899313709e-07,91.2,2765914150.3268194,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.7985132939384746e-07,91.2,2310076731.4939513,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.0621997701190533e-07,91.2,1929363752.94195,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.350731780487785e-07,91.2,1611394305.8328142,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.6664503649722095e-07,91.2,1345827921.205148,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.011917145110291e-07,91.2,1124028294.588801,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.389935108081548e-07,91.2,938782430.5984348,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.803571349088049e-07,91.2,784066073.9974667,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,5.256181956608318e-07,91.2,654847798.9750135,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,5.751439242433617e-07,91.2,546925385.5559716,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,6.293361537421076e-07,91.2,456789162.05223507,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,6.886345794714897e-07,91.2,381507869.4075894,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,7.535203264966113e-07,91.2,318633335.70789725,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,8.245198533006114e-07,91.2,266120860.84094137,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,9.022092232702599e-07,91.2,222262722.189393,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,9.872187786570593e-07,91.2,185632638.94056606,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.080238254936561e-06,91.2,155039388.9744372,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.1820223770619243e-06,91.2,129488069.93614313,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.2933969830175757e-06,91.2,108147744.69055814,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.4152657243572029e-06,91.2,90324418.9786903,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.5486173980916918e-06,91.2,75438472.50057575,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.6945339694151947e-06,91.2,63005809.47620329,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.8541993503627166e-06,91.2,52622115.69463225,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.028909005625913e-06,91.2,43949710.08546649,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.220080463465091e-06,91.2,36706563.22154653,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.429264816998964e-06,91.2,30657125.63102761,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.6581593091892923e-06,91.2,25604667.652593475,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.908621103630263e-06,91.2,21384881.723426968,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.1826823528735514e-06,91.2,17860539.044280145,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.482566686547826e-06,91.2,14917026.854667837,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.8107072530510203e-06,91.2,12458621.188935623,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.169766461198885e-06,91.2,10405373.902026929,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.56265758200615e-06,91.2,8690512.730023311,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.9925683858689426e-06,91.2,7258269.834588597,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,5.462987006931703e-06,91.2,6062068.214881663,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,5.977730244492257e-06,91.2,5063007.008468616,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,6.540974531071987e-06,91.2,4228596.422731399,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,7.157289818414426e-06,91.2,3531701.156334203,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,7.831676656350356e-06,91.2,2949657.950473246,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,8.569606765373494e-06,91.2,2463538.5723917997,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,9.377067432117182e-06,91.2,2057534.263146845,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.0260610087940301e-05,91.2,1718441.6316701144,0.0004385964859548553,0.025129727554482097,False,invisible
